                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3164,                 1.8464,                 0.9715,                0.85274,                0.54383,                0.60685,                 0.3758,                 1.1707,                0.97585,                0.92933,             0.00036843,             0.00036843,             0.00036843
                      2,                 1.1858,                0.93261,                0.94058,                0.76167,                 0.6556,                0.72045,                0.45174,                 1.1189,                0.74652,                0.92093,             0.00073145,             0.00073145,             0.00073145
                      3,                 1.1524,                0.77987,                0.93189,                 0.7607,                0.64821,                0.70474,                0.45277,                 1.1116,                0.76369,                0.91579,              0.0010871,              0.0010871,              0.0010871
                      4,                 1.1344,                0.72121,                0.93325,                0.78106,                0.68062,                0.74982,                0.48366,                 1.0424,                0.62948,                0.90132,               0.001078,               0.001078,               0.001078
                      5,                 1.0976,                0.65518,                0.92416,                0.77188,                0.68652,                0.74197,                0.48061,                 1.0535,                  0.612,                0.90583,               0.001078,               0.001078,               0.001078
                      6,                 1.0998,                0.63542,                0.92241,                 0.7924,                0.71545,                0.76361,                0.49539,                 1.0268,                0.58261,                0.89772,               0.001067,               0.001067,               0.001067
                      7,                 1.0774,                0.61515,                0.91735,                0.73886,                0.71018,                0.75268,                0.48808,                 1.0288,                0.58662,                0.90434,               0.001056,               0.001056,               0.001056
                      8,                 1.0725,                 0.6071,                0.91727,                0.70849,                0.69001,                0.75036,                0.48935,                 1.0208,                0.58721,                0.89926,               0.001045,               0.001045,               0.001045
                      9,                 1.0627,                0.58868,                0.91551,                0.74801,                0.71824,                0.77868,                0.50713,                0.98417,                0.55845,                 0.8881,               0.001034,               0.001034,               0.001034
                     10,                 1.0544,                0.57815,                0.91013,                0.79409,                0.72851,                0.76741,                0.50796,                0.99468,                0.53935,                0.89146,               0.001023,               0.001023,               0.001023
                     11,                 1.0431,                0.57494,                0.90825,                0.77775,                 0.7214,                0.77105,                0.51075,                0.99126,                 0.5539,                0.89153,               0.001012,               0.001012,               0.001012
                     12,                 1.0371,                0.56194,                0.90837,                0.74963,                0.75205,                0.78129,                0.51584,                0.98525,                0.52928,                0.88524,               0.001001,               0.001001,               0.001001
                     13,                   1.03,                0.55597,                 0.9085,                0.79434,                0.71896,                0.78643,                0.52645,                0.98893,                0.52986,                0.88805,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.0283,                0.55401,                0.90834,                0.71781,                0.74663,                0.78087,                0.52282,                0.97455,                0.52163,                0.88423,             0.00097901,             0.00097901,             0.00097901
                     15,                  1.016,                0.54942,                 0.9043,                0.79802,                0.70126,                0.76834,                0.51854,                0.95683,                0.54789,                0.88188,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.0145,                0.53975,                0.90174,                0.77461,                0.75164,                0.79326,                0.53213,                0.96994,                  0.504,                0.88158,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.0085,                0.53651,                0.90512,                0.76364,                0.74934,                0.80003,                0.53954,                0.96465,                0.49918,                0.88343,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.0019,                0.52688,                0.89987,                0.76395,                0.76123,                0.80205,                0.53358,                0.96446,                0.49764,                0.88083,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.0082,                0.53215,                0.90086,                0.77533,                0.75466,                0.80206,                0.53746,                0.95185,                0.49472,                0.87844,             0.00092402,             0.00092402,             0.00092402
                     20,                 0.9979,                0.52213,                 0.8994,                0.75762,                0.76824,                0.80264,                0.54318,                0.94937,                  0.483,                0.87858,             0.00091302,             0.00091302,             0.00091302
                     21,                0.99158,                0.51547,                0.89732,                0.76364,                0.77732,                 0.8023,                0.54189,                0.94589,                0.48755,                0.87745,             0.00090202,             0.00090202,             0.00090202
                     22,                0.98746,                0.51491,                0.89535,                0.79871,                 0.7636,                0.81122,                0.55007,                0.94694,                0.48358,                0.87819,             0.00089102,             0.00089102,             0.00089102
                     23,                0.99109,                0.51243,                0.89482,                0.80795,                0.77364,                0.80149,                0.54176,                0.94967,                0.48123,                0.87838,             0.00088002,             0.00088002,             0.00088002
                     24,                0.98184,                0.50661,                0.89603,                0.80432,                0.77845,                0.81213,                0.55344,                0.94146,                0.47696,                0.87714,             0.00086902,             0.00086902,             0.00086902
