                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3656,                 1.7255,                0.93678,                0.84073,                0.55586,                0.61791,                 0.3784,                 1.1257,                 1.0316,                0.93563,              0.0033245,              0.0033245,              0.0033245
                      2,                 1.2353,                0.92065,                0.90098,                0.75491,                0.62112,                0.71115,                0.44826,                 1.0964,                0.75877,                0.92497,              0.0066307,              0.0066307,              0.0066307
                      3,                 1.2325,                0.81503,                0.90196,                0.72142,                0.65432,                 0.6977,                0.42862,                 1.1201,                0.80621,                0.94811,              0.0099217,              0.0099217,              0.0099217
                      4,                 1.1953,                0.71345,                 0.8983,                0.71903,                0.66672,                0.71451,                 0.4509,                 1.1003,                0.70346,                0.93727,              0.0099033,              0.0099033,              0.0099033
                      5,                 1.1329,                0.63675,                0.88832,                0.73302,                0.69323,                0.74593,                0.48272,                 1.0574,                0.60297,                0.92068,              0.0098755,              0.0098755,              0.0098755
                      6,                 1.1008,                0.59802,                 0.8832,                0.78212,                0.71288,                0.75916,                0.48838,                 1.0534,                0.58261,                0.91824,              0.0098472,              0.0098472,              0.0098472
                      7,                 1.0771,                0.57617,                0.87938,                 0.7683,                0.73267,                0.77123,                0.49216,                 1.0546,                0.57563,                0.92561,              0.0098195,              0.0098195,              0.0098195
                      8,                 1.0556,                 0.5574,                0.87638,                0.76621,                0.73464,                0.76324,                0.49188,                 1.0322,                 0.5743,                0.91653,              0.0097919,              0.0097919,              0.0097919
                      9,                 1.0369,                0.54281,                0.87116,                0.71873,                0.71602,                0.76157,                0.49675,                 1.0265,                0.54774,                0.90749,              0.0097643,              0.0097643,              0.0097643
                     10,                 1.0306,                0.53704,                0.87185,                0.76993,                0.71792,                0.77685,                0.51057,                 1.0114,                0.53656,                0.90604,              0.0097372,              0.0097372,              0.0097372
                     11,                 1.0165,                0.52739,                0.86868,                0.76661,                0.72304,                0.77977,                0.51184,                 1.0039,                0.53298,                0.90559,              0.0097088,              0.0097088,              0.0097088
                     12,                 1.0084,                0.51903,                0.86604,                 0.7776,                0.74914,                 0.7887,                0.51744,                 1.0111,                0.51363,                0.90981,              0.0096797,              0.0096797,              0.0096797
                     13,                0.99999,                0.51139,                0.86658,                0.77494,                0.76332,                 0.7858,                0.51731,                 1.0022,                0.51642,                0.90416,              0.0096516,              0.0096516,              0.0096516
                     14,                 0.9981,                0.51071,                 0.8641,                0.78865,                0.75091,                0.79472,                0.52939,                0.98288,                0.50534,                 0.8979,              0.0096237,              0.0096237,              0.0096237
                     15,                0.98324,                0.50172,                0.86359,                0.78899,                0.74345,                0.79301,                0.53314,                0.97779,                0.49884,                0.90357,              0.0095959,              0.0095959,              0.0095959
                     16,                0.98216,                0.49704,                0.86262,                0.79645,                0.76573,                0.80897,                 0.5364,                0.97153,                0.49731,                0.89551,              0.0095683,              0.0095683,              0.0095683
                     17,                0.97625,                0.49192,                0.86176,                0.77249,                0.78101,                0.80126,                0.53789,                0.96576,                0.48999,                0.89628,              0.0095409,              0.0095409,              0.0095409
                     18,                0.96933,                0.48911,                0.85972,                0.79143,                0.76281,                 0.8058,                0.54182,                0.96486,                0.48102,                0.89122,              0.0095136,              0.0095136,              0.0095136
                     19,                0.96686,                0.48881,                0.86058,                0.74786,                 0.7812,                0.80842,                0.54351,                0.96521,                0.48325,                0.89315,               0.009485,               0.009485,               0.009485
                     20,                0.96279,                0.48257,                0.85654,                0.78916,                0.79103,                0.80418,                0.54098,                0.95635,                0.47384,                0.89131,              0.0094564,              0.0094564,              0.0094564
                     21,                0.95525,                0.47981,                 0.8571,                0.80053,                0.76954,                0.80988,                0.54436,                0.95628,                0.47391,                0.89309,              0.0094294,              0.0094294,              0.0094294
                     22,                0.95773,                 0.4794,                0.85593,                0.77107,                0.77687,                0.80781,                0.54534,                0.95033,                0.47684,                 0.8888,              0.0094009,              0.0094009,              0.0094009
                     23,                0.95619,                0.47923,                0.85737,                0.79824,                0.78609,                0.81133,                0.55195,                0.94014,                0.46351,                0.88569,              0.0093723,              0.0093723,              0.0093723
                     24,                0.94738,                0.47519,                0.85496,                0.79788,                0.77952,                0.80834,                0.54665,                0.94523,                0.46608,                0.88823,              0.0093457,              0.0093457,              0.0093457
                     25,                0.94838,                0.47246,                0.85537,                 0.7998,                0.77333,                0.81355,                0.55123,                0.94565,                0.46394,                 0.8878,              0.0093192,              0.0093192,              0.0093192
                     26,                0.94746,                0.47327,                 0.8549,                0.81658,                0.77214,                0.81782,                0.55885,                 0.9433,                0.45781,                 0.8863,              0.0092908,              0.0092908,              0.0092908
                     27,                 0.9382,                 0.4667,                0.85244,                0.77245,                 0.7904,                0.80633,                0.55131,                0.93477,                0.45684,                 0.8853,              0.0092646,              0.0092646,              0.0092646
                     28,                0.94494,                0.46814,                0.85322,                0.81358,                0.78349,                0.82295,                 0.5633,                0.93113,                0.44737,                0.88367,              0.0092363,              0.0092363,              0.0092363
                     29,                0.93323,                0.46443,                0.85264,                0.80229,                0.78904,                0.81985,                0.56131,                0.93117,                0.44975,                 0.8843,               0.009208,               0.009208,               0.009208
                     30,                0.93665,                0.46284,                0.85336,                0.79011,                0.79399,                 0.8116,                0.55608,                0.93185,                 0.4505,                0.88462,              0.0091821,              0.0091821,              0.0091821
                     31,                0.93298,                0.46305,                0.85313,                0.78675,                0.80662,                0.82004,                0.56366,                 0.9264,                0.44643,                 0.8815,              0.0091538,              0.0091538,              0.0091538
                     32,                  0.933,                0.46157,                0.85015,                0.79415,                0.79569,                0.82246,                0.56262,                0.92588,                0.44451,                0.88168,              0.0091256,              0.0091256,              0.0091256
