                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3328,                 1.6017,                 0.9106,                 1.7412,                 2.3784,                0.87193,                0.74384,                0.49222,                0.54037,                 0.3307,                  1.112,                 1.0819,                0.92336,                 1.3705,                 2.3928,                0.90367,              0.0033289,              0.0033289,              0.0033289
                      2,                 1.2376,                0.94861,                 0.8975,                 1.6838,                 1.4411,                0.86916,                0.64706,                0.56583,                0.61382,                0.38168,                 1.0985,                0.93258,                0.92946,                   1.37,                 1.5969,                0.91608,              0.0065963,              0.0065963,              0.0065963
                      3,                   1.24,                0.85066,                0.89987,                 1.6903,                 1.0913,                0.87433,                0.63153,                0.56749,                0.62427,                0.37107,                 1.1522,                0.89995,                0.94511,                 1.4679,                 1.2115,                 0.9448,              0.0097977,              0.0097977,              0.0097977
                      4,                 1.1939,                0.74255,                0.89972,                 1.6385,                0.89127,                0.87485,                0.65722,                  0.642,                0.68126,                0.42124,                 1.0845,                0.71178,                0.92652,                 1.3743,                0.90893,                0.92858,               0.009703,               0.009703,               0.009703
                      5,                 1.1403,                0.65621,                0.89282,                  1.571,                0.77489,                 0.8693,                0.68565,                0.67977,                0.70888,                0.44723,                 1.0541,                0.65537,                0.92785,                  1.344,                0.81244,                0.92753,               0.009703,               0.009703,               0.009703
                      6,                  1.104,                0.61515,                0.88667,                 1.5208,                0.71846,                0.86347,                0.71638,                0.65621,                0.70023,                0.43938,                 1.0618,                0.62261,                0.93038,                 1.3667,                0.78741,                0.93283,               0.009604,               0.009604,               0.009604
                      7,                 1.0779,                0.58784,                0.88036,                 1.4878,                0.69266,                0.85776,                0.72538,                0.67948,                0.74242,                0.46922,                  1.048,                0.58504,                0.92428,                 1.3258,                0.70065,                 0.9246,               0.009505,               0.009505,               0.009505
                      8,                 1.0566,                0.56698,                0.87903,                 1.4598,                0.66436,                0.85626,                0.68824,                0.70198,                0.73164,                 0.4673,                 1.0297,                0.59081,                0.91835,                 1.3163,                0.69451,                0.91995,               0.009406,               0.009406,               0.009406
                      9,                 1.0439,                0.55369,                 0.8759,                 1.4406,                0.64656,                0.85374,                0.76272,                0.70155,                0.74989,                0.48007,                 1.0181,                  0.539,                0.91172,                 1.3051,                0.65054,                0.91413,               0.009307,               0.009307,               0.009307
                     10,                 1.0272,                0.53979,                0.87295,                 1.4224,                 0.6337,                0.85136,                0.74365,                0.71998,                0.75576,                0.48486,                 1.0202,                 0.5365,                0.91591,                 1.2925,                0.64579,                0.91451,               0.009208,               0.009208,               0.009208
                     11,                 1.0168,                0.52959,                0.86995,                 1.4076,                0.62073,                0.84843,                0.73505,                0.72004,                0.75858,                0.49087,                 1.0015,                0.51946,                 0.9064,                 1.2823,                0.62142,                0.90806,               0.009109,               0.009109,               0.009109
                     12,                 1.0055,                0.52191,                0.86981,                 1.3959,                0.61121,                0.84792,                0.76125,                0.72144,                0.76131,                0.49543,                0.98985,                 0.5233,                0.90243,                 1.2765,                0.61758,                0.90604,                0.00901,                0.00901,                0.00901
